Survey Date,Itinerary Number,Additional feedback,,
2018-01-05 16:03:00,7319104405753,The customer service person was very helpful and kind. Please with the service,,
2018-01-05 17:19:59.999998,7267089181953,"It was difficult because the individual I was speaking with, though kind and courteous, was quite hard to understand.  Due to his accent.  Though I was referred to this individual in order to rebook a cancelled flight he was not able to help me directly but needed to check in with others at least twice.  I feel I should be given a monetary credit for my cancelled flight to use at my own discretion scheduling another flight.  In addition, while my original flight cost a little over $900, the flight this individual found for me was over $4000.  THAT is ridiculous!
I travel fairly frequently and recently I have found absolutely no advantage to arranging flights through AARP Travel Center.",,
2018-01-05 19:41:59.999997,116100856151,The issue was resolved fairly quickly. Your representative was very pleasant and helpful.,,
2018-01-05 20:15:59.999996,116504809773,"I called to resolve a seating issue on the plane and was very satisfied with the result.  The agent was helpful and reassuring . I think she was in a call center in the Philippines , she was very pleasant and easy to understand.",,
2018-01-06 07:43:00.000002,116172476857,can compare locations. Complaint is you put featured first rather than how directed by the user,,
2018-01-06 07:57:59.999996,7303530752474,The person I spoke with was very patient and understanding.  He checked several sites for information that was related to my concern and was able to respond to my specific questions. I felt that he took the time to help me feel comfortable.,,
2018-01-06 08:12:59.999999,7319552658396,I made an error when I booked my room.  I called Expedia.  They called me back within 20 minutes and resolved my problem.,,
2018-01-06 09:09:59.999996,7318639967780,no issues,,
2018-01-06 09:13:59.999998,7319004892984,Good prices and  a lot of choices,,
2018-01-06 11:08:59.999997,7319286465434,"Call was answered soon, but not immediately.  Customer rep was very helpful, resolved my issue while I was on the line.",,
2018-01-06 15:15:00.000003,7319276066817,"Customer service was excellent, rep very efficient, friendly and polite. Thank you",,
2018-01-07 11:08:59.999997,7315994334048,My change of date in my reservation was addressed properly and courteuos.,,
2018-01-07 13:59:59.999997,7318323797988,I called and had resolution to my question very quickly.  Representative was polite and helpful.,,
2018-01-07 15:13:00.000002,7319416610188,Unfortunately we needed to cancel our booking but when I called representative was very helpful and prompt attention and received refund in 3 days.,,
2018-01-07 21:00:00,7318015504316,No problems,,
2018-01-08 15:29:00.000001,7318760054595,"I tried to cancel a rental car reservation online and could not.  I called and spoke with an agent on the phone and she said she cancelled the reservation and that I would receive a confirming email.  I have not yet received the email (it's been a week), so I feel uncertain as to whether or not this reservation has been cancelled.",,
2018-01-08 16:54:59.999999,7320245495549,"Every thing went good until I requested my travel package be mailed to me. My computer is off and on most of the time.
I do have the package now in my e-mail now. Hopefully it will print out ok.",,
2018-01-08 18:18:00,7320165553634,I had booked a trip and needed to reserve a seat. The agent told me I needed to go through The airlines to reserve a seat and she stayed on the phone with me until I got my seat reserved which was thoughtful and great customer service!,,
2018-01-08 19:32:00.000001,114841762449,"a little hard to understand foreign accent, but very good as a customer service rep",,
2018-01-08 19:45:59.999999,7319991211295,"Agent,did find me the most cheapest flight,and meet my need to the T..thank you very much will all way use my AARP for all my needs.",,
2018-01-08 20:24:00,7320260538062,We thought we could use AAA or ARRP. However after a half hour on the phone and almost completing a booking we could not finish because we did not have a membership number. It took another half hour to get a number and we had to go through the whole booking process again.,,
2018-01-08 20:44:59.999997,7310691774345,I called 12/30/17 with concern about layover time between flight legs. I got a foreign call center. First helper elevated call to supervisor who had to put me on hold. Call eventually came Bach to the USA where my question was answer but only after about 1 1/2 hours on phone. Terrible. Th answer I was given was that 42 minutes between flights was within guidelines. If the first leg of my flight had not arrived much earlier than planned I would have missed the next flight.,,
2018-01-08 21:42:59.999999,72975160787937,Reception on my cell phone was poor inside the resort so I had to find a area near a window to make my call as I was on hold for a very long time.  My issue was not resolved to my wishes so I was very disappointed with AARP travel.,,
2018-01-08 21:56:00.000001,7319546399256,Prompt service,,
2018-01-08 22:21:59.999996,116525167625,"My flight had already been canceled but United desk had found last seat on flight for following day. But, the person I spoke with on the phone, wanted to cancel all flights and start over again. I couldn't seem to make him understand that would definitely not be a solution. I could barely understand him anyway!",,
2018-01-09 06:02:59.999997,7320008911154,"AARP offers discounts for airplane tickets, When I asked what the discount was ?I got no reply. I payed as much for 2 tickets to Florida as I could have bought them directly from Delta. The girl [service rep. ] on the phone had such a strong accent, I could barely understand her English . 
Andrew Bessette. 
cabessette@juno.com
I expect a reply from a top AARP officer",,
2018-01-09 08:19:59.999998,7319491152650,The call ball feature is appreciated; however the first call back I received we were disconnected and Expedia did not call back. I then had to go back and start the process over again....and make a second call back request.,,
2018-01-09 11:37:00.000002,112840243404,The reps at Expedia were very helpful.,,
2018-01-09 14:19:00.000002,7320285542912,Customer service representative was helpful in solving my issue.,,
2018-01-09 14:21:00.000003,7315602821012,Language Barrier,,
2018-01-09 14:26:00.000001,7316969957808,"I had to wait on hold for a long time and then got switched around until I spoke with the proper person. At the end of the day I still was the one that had to fill out the complaint letter to Payless, the travel center didn't do that for me.  Why bother using a third party if the onus is still on me to correct the problem.",,
2018-01-09 16:30:00,7319932803322,"Booked find trip for 3, no problem...cancelled easily within 24hrs via automated system...nervous, panicky when received no confirmation email/ text/ ph call...
Forced to make a phone call outside the 24hr period to assure cancellation, was told had not been cancelled due to system undergoing upgrade; relieved that personnel was able to cancel nonetheless.",,
2018-01-09 16:36:59.999999,7275287816921,We Had  3 Travel related issues. 2 were resolved and refunds made.1 is still pending...We were told we would be contacted within 24 hours and at this time it has been almost 72hours.,,
2018-01-09 16:39:00,7299812608265,Good problem solving work representative.,,
2018-01-09 16:41:59.999997,7319523192825,It just was and I also recommended it to a friend and she booked a flight with you and AARP. In fact  talked her into joining AARP,,
2018-01-09 19:52:59.999998,7320190189038,"Any questions I had she answered and everything was explain to on how the program works. Very knowledgeable
I like that.",,
2018-01-09 20:10:59.999998,115932257602,It took two days and 6 hours to get it cleared up I was placed on hold than when aarp came on they tranford me to expedia and I was on hold again this happened on both days.It finally got solved on the second day by aarp with my help at finding a replacement Hotel,,
2018-01-09 20:33:00,7317252259329,"They care ,listen,sympathise with you.",,
2018-01-09 20:39:00.000003,7320427100317,had problems getting someone,,
2018-01-09 20:42:59.999996,7310798736711,The representative was able to finally understand my question/issue.,,
2018-01-10 00:24:00.000003,7317014242785,There was some confusion with my reservation and it was handled well and quickly.,,
2018-01-10 00:49:59.999998,7320100954544,"I inadvertently entered the wrong return date for my flight and the agent was able to correct it for me with no hassle.  I just wish that the agents didn't have such a ""script"" to follow - would make the call seem more personable rather than reading down a list of things to say to the guest.",,
2018-01-10 10:54:59.999999,7288343852683,"I had numerous charges made to my credit card for rooms at hotels that I did not book.  I had to cancel my credit card and it then took me almost 6 weeks to get get charges removed.  Every time I called AARP/Expedia I was basically given the same runaround....""the manager at the hotel is not available at this time but we have a left a message and will follow up with him tomorrow and someone will get back to you"".  Then I would have to call you again and go through the same process all over again.  I FINALLY got the last charge removed by calling my credit card company and turning it over to their fraud department.  I can't even begin to tell you how much time I spent on the phone trying to get this mess cleared up.  I DID NOT book these rooms and have absolutely no idea why this happened but it should have been an easy fix on your end.  And it wasn't.  And to have someone tell me that it was perhaps my fault because when I was looking at rooms on-line I may have ""accidently"" booked them is ridiculous.  I have used your website in the past and know how it works.  I can say that I don't feel confident in using your services again due to the fact that I received such terrible customer service.",,
2018-01-10 14:19:00.000002,7308294618070,The agent was very responsive and competent although I had to be put on hold for short periods of time,,
2018-01-10 14:19:59.999998,7320308048296,"The agent who helped me was polite, knew what to do, and made the experience pleasant.",,
2018-01-10 14:51:00,7320376278788,Because,,
2018-01-10 16:21:59.999996,7320698006362,I was able to change my travel plans very easy,,
2018-01-10 17:06:00,7320517545541,7 hour layover is ridiculous! Couldn't get seat request. Found cheaper after we made res. This was our first and last with aarp travel.,,
2018-01-10 18:27:59.999996,116092465077,"simple issue - I had to have an earlier flight, otherwise I may miss my cruise. There were too few choices, so it was easy. Unfortunately it is going to cost me 3 extra night boarding two dogs, and more money for the new itinerary.",,
2018-01-10 18:38:00.000001,7317356768021,"We arrived just after midnight at Payless who refused to honor the confirmed rate, charging about 50% more.  I spoke with an Expedia rep who was helpful and able to provide a partial refund but it took a couple of phone calls and 90 minutes to resolve which was difficult with two exhausted kids at the airport.  Based on Yelp reviews, Payless appears to upcharge frequently and I wonder if you should investigate and rethink your partnership with them if in fact the customer service they provide is truly as bad as the reviews (and our experience) suggest",,
2018-01-10 18:58:00.000002,7320692280949,"I could book airline, hotel and car rental at the same time.",,
2018-01-10 22:14:00.000001,7320883246609,The representative understood my problem and helped me to resolve it.,,
2018-01-10 22:34:00.000002,7318670685621,Left a message to call back on cell phone instead they called my home phone never heard back from you until next morning when I called them back,,
2018-01-11 09:29:59.999997,7319998988114,Because I got answers very quickly.,,
2018-01-11 11:24:00,7320959737628,It was taken care off on first attempt,,
2018-01-11 16:23:59.999997,7293817170639,"I quickly thought to the appropriate person to conduce my business. The only problem, I had was sometimes understanding what the person because go their accent.",,
2018-01-11 16:57:00,7320366306145,"The representative was available, answering my questions or finding the answer while I waited.  He was courteous and friendly.",,
2018-01-11 18:47:59.999997,7316312457256,The staff was very understanding of why I need to cancel my last minute hotel reservation. They were very helpful in getting the reservation canceled and a refund back to me.,,
2018-01-11 22:16:00.000002,7320850205111,When I first booked my car reservation I was very explicit about returning my rental car at the beaches and was told that was not a problem that the car could be returned at a Neptune Beach location but when I went to pick up the rental I had to return it to the airport location when I called to find out what was going on the person that I spoke to explained why I had to return the rental to the airport location I was also informed that the first person I spoke to shouldn't have told me that I could return the rental to any other locations other than the airport. After explaining the situation I understood but when I first went to pick up rental car I wasn't a very happy person especially when I was explicit about the drop point and was assured that I could do it,,
2018-01-12 10:16:00.000002,7306186346973,Spent 30 minutes on the phone with Expedia but wasn't able to completely resolve my issue.  Finally got resolved with the hotel when I checked out the next day.,,
2018-01-12 11:10:00.000002,7317960728145,"I explained the mistake, which was a seven-day booking in a hotel, to the customer service representative, and he corrected the booking to a one-day stay instead per my request.  He also made sure that the amount difference in charges was returned to my credit card.",,
2018-01-12 18:18:59.999996,7321464083446,Your representative was very friendly and helpful.,,
2018-01-12 19:03:00,7321283732396,I had had trouble using your web site at end of trying to reserve a room.  The rep on the phone helped me and I quickly had my reservation.,,
2018-01-12 19:50:00.000001,7293702266628,"The first person I spoke with on the phone made a concerted effort to resolve my problem, putting me on hold several times while she researched the situation. Each time she came back on the line, she had more info for me and we moved closer to solving the problem. She only transferred me at the end to a person with the authority to issue a refund.",,
2018-01-13 05:17:59.999997,0,Agent amswered he questions and was able to guide me through th eprocedure.,,
2018-01-13 08:24:00,7268648367660,"The customer service agent I spoke to was extremely patient and helpful with me.  I had a more complex request and needed assurance it was being handled properly. She focused on my need, made me feel comfortable and explained the entire process as she was going through it. She delivered the customer service I had hoped for and was certainly happy she took MY call!She delivered more than what I expected.",,
2018-01-13 08:26:00.000001,7316407607754,"Because it was , all I had to do was speak to your rep. and she resolved the problem for me .",,
2018-01-13 10:30:59.999996,7314893010446,"If I tried to handle the issue on my own, I may have lost money.",,
2018-01-13 17:03:00.000003,7318471209654,It was a nonevent but ended up being ineffective because the hotel we needed to stay at for the event was not on your list. We ended up flying to and staying at a hotel that was 4.5 hours from where we needed to be with a cost outlay of $4000.,,
2018-01-14 09:24:59.999999,7320247020118,"My contact with AARP Travel center was a great experience, the representative was fact, well informed and provided me with great advise.",,
2018-01-15 07:09:59.999999,7321456393826,When I called to cancel my reservation the gentleman at the call center was very helpful.,,
2018-01-15 10:11:00.000004,116626715847,It was not his fault. There were many cancelled flights due to weather.,,
2018-01-15 16:05:00.000001,116005736371,The customer service representative was very helpful and competent.  She went the extra mile to inform me of my options.,,
2018-01-15 16:09:59.999999,7318494864740,"I spoke with two different men, both of whom were polite and helpful.  However, English was not either man's first language, and I had difficulty understanding either of them.",,
2018-01-15 16:20:00.000004,,"I was trying to book excursions for my upcoming Hawaii trip. The website has not worked properly for over a week. I had to talk to Customer Service several times. I was told the system was ""refreshing"" and that I needed to try again the next day. Did that. It still didn't work. So I called again and had to spend over an hour trying to work with a CS person to place my request over the phone. It was extremely frustrating because her accent was so heavy that I could barely understand her. She knew her stuff and was very patient with me but she was also having trouble with the system. We never did get my 5th excursion booked. So, fix the system and get people who speak English without an accent in the  Customer Service department,please!",,
2018-01-15 16:34:00.000002,7313786027375,I called to find out if there was any recourse for my situation. The representative took care of everything for me.,,
2018-01-15 16:48:00,7321747108335,The travel representative check the cheapest fare and straight flight right away. With no problem..,,
2018-01-15 17:10:59.999998,7321417196841,Easy web site,,
2018-01-15 18:02:00.000001,7321318336542,Expedia customer services was great.,,
2018-01-15 19:34:00.000002,7321406942651,"I can’t remember the nice assistant I spoke with on the phone, but she was AWESOME!",,
2018-01-15 19:57:59.999996,7306617314262,"It hasn't been resolved yet.  I was billed in November for a 12-30 stay, which is fine.  It was supposed to be a 15% savings ... at $199.  After the 12-30 stay, I was billed by the hotel, in error ... at $185.  So much for getting a better price through AARP Travel.  The Expedia rep did tell me that she would contact the hotel.  I also talked to the hotel who said the $185 will be credited to me eventually.  I'm sure it will be.  I will watch for it.  But I don't see the advantage of going through Aarp Travel next time. Sorry.",,
2018-01-15 21:56:59.999997,7321523813903,My request was filled professionally and efficiently with attention to detail.,,
2018-01-16 06:31:59.999998,115664726427,No updates provided and no required comm from Expedia,,
2018-01-16 08:37:59.999998,7270320653411,I had a tour cancel on a trip I had booked thru them. Tour company said contact them for refund.  I sent out 4 emails stating I needed a refund and had all the info on the email. The only response I ever got was the auto email that says they rec'd my email.  I finally had to call the 800 number and speak to a rep.  She got me the refund I needed.  D- on the email communication.,,
2018-01-16 09:42:00.000003,7317916715212,I was able to find what I need easily,,
2018-01-16 11:01:59.999998,7321661812848,"I needed to extend a Hertz car rental by returning a day later and the first representative was very helpful taking all my information and then we were disconnected. I called back and the next agent immediately told me she couldn't help me...very abrupt even though I explained that the first agent was assisting me when disconnect. I then received an email from Agent 1 that he left all info in computer, call back asap. I called back for the third time and Agent 3 could not find info but took all info again and explained she could not solve but would put me on hold and call Hertz....I waited for over 15 minutes and Agent 3 regretfully reported that Hertz raised the rental rate by close to 30%. I cancelled my original reservation, contacted Hertz, extended by SIX days and I'm paying less than the original reservation. I understand that the rate system is not a reflection of EXpedia or AARP. My problem is the disparity in agents and their willingness to help...Kudos to Agents 1&3.",,
2018-01-16 11:10:00.000002,7321972651903,"The agent was extremely helpful, knew what I wanted to do, and was efficient in helping me.  I was extremely pleased with the service I was given by her. Also, didn't have to wait on the line for an agent to assist me.",,
2018-01-16 12:11:59.999997,7321691026041,"Due to the weather in Memphis  which was out of my control, when I contacted aarp they have been very gracious to assist me in making changes.",,
2018-01-16 14:50:00.000004,7315407939959,Simple explanatory website,,
2018-01-16 14:59:00.000004,7322304165462,"I was kept on hold for hours!  Because a mistake was made (through no fault of ours) we ended up having to book an additional two nights for our trip.  Our airline reservation and hotel stay did not match.  We asked to change our flight to no avail. After several hours of trying to resolve this, we took the lesser of two evils and booked the extra days.  Nobody could explain why this happened.  I asked to speak to a manager, and after another long hold, I was connected to an extremely rude woman who clearly didn’t care about the customer.  I have been a customer in the past, and I even have an upcoming trip already booked.  Thankfully after my husband ran out of patience,  I took over.  He was and still is livid.  I felt very frustrated and was in tears by the end of all this.  I would like a response to this survey.",,
2018-01-16 15:09:00,7320965841386,"Your customer service agents were remarkably helpful in 2 difficult travel situations on reservations I had through AARP/Expedia! A cruise reservation that was abruptly cancelled by the cruise ship company, and a flight and rental car reservation change due to bad weather in the destination city. Your agents were most helpful, most professional and very pleasant! I couldn't ask for better customer service! Thank you from a very satisfied customer!",,
2018-01-16 15:09:59.999996,7322198923290,It's fixed now.,,
2018-01-16 15:17:00.000004,7308776927327,"I couldn't stay on the line to have my question answered, so the rep did the follow up, called me back and I was good to go.  I didn't have to call back again.",,
2018-01-16 16:54:00.000003,7320400468567,Aarp rep got our payment refunded due to ice storm and need to cancel reservation. Very helpful !,,
2018-01-16 17:26:00.000001,7318350809255,"Everything was done online. It was very easy to use ,",,
2018-01-16 17:35:00.000001,7315752837327,you have to jump through hoops to find someone to talk to,,
2018-01-16 17:53:59.999997,7319842937965,Very grateful that expedia went to bat for me to get my refund. Communication was excellent ! Thank you!,,
2018-01-16 18:00:00,7317015942521,"I had multiple bookings and cancellations and had large errors made every single time I made a change. Took multiple calls to fix every problem. It should have taken 1 call instead it took 3 or 4. None of the service people had English as a first language so they must not have understood at all what I was asking. I instruct international professional students and all are superior to your personnel with regard to understanding what customers are saying in English. It also does no good for them to lie, giving an English “name” when they are obviously not a primary English speaker. If they are Mohammad they should not call themself “Mike”. I will never use the AARP travel service again. Terrible experience.",,
2018-01-16 18:08:00.000004,7321421984231,The person who helped me understood my complaint as being reasonable and took measures to ensure that the charge will be erased from my credit card.,,
2018-01-16 18:22:59.999998,7321685602604,"I found out the company that i booked with has gotten totally terrible reviews due to poor service, poor products and dirty condition. Expedia-aarp should stop using substandard companies!",,
2018-01-16 18:38:59.999997,7322244657175,The aarp/Expedia rep was incredibly helpful. She assured me she could assist me with my problem and she did.,,
2018-01-16 18:51:00.000003,7322231451348,"I WAS PLANNING TO THE ANNUAL CONCRETE SHOW LAS VEGAS, FOR THREE PEOPLE AND AND TWO HOTEL ROOMS.  I CAN'T GET ALL MY MONEY REFUNDED TO ME I DO NOT UNDERSTAND THE PROCESS.  I WAS TOLD TO CANCEL AND REBOOK THAT'S WHAT I DID NOW.  AS OF THIS MOMENT I HAVE NOT RECEIVED CONFIRMATION OF A FULL REFUND. I ALSO WOULD LIKE TO CANCEL MY MEMBERSHIP OF FIVE YEARS I PAID IN ADVANCE.",,
2018-01-16 18:58:00.000002,7322204536877,The representative was extremely hard to understand. Her English was not good.,,
2018-01-16 20:44:59.999997,7322183489844,"Polite, fast, courteous service, resolved problem quickly.",,
2018-01-16 23:46:59.999998,7319284672364,"I  simple stated what my issuse was,gave him a  few  identity answers and  he went to work. Solved my problem and even credited back to me money that 
I didn't know was owed to me Something I spent 2 days fretting over was solved in about 10 min",,
2018-01-17 01:21:59.999996,7321996276727,The person on the other side understood exactly what i needed.,,
2018-01-17 06:42:00.000003,7322452775922,Call Center was really helpful and the wait was less than 5 minutes.,,
2018-01-17 07:56:00.000004,115581428420,"my spouse is unable to travel on this booked vacation due to a fall which he sustained a broken hip and might develop blood clots with sitting for such a lengthy time.  The original call was for a name change on the ticket due to my daughter in law accepting the invitation to travel with me.  This can not happen I found out because of airline restrictions.  In order to get a refund (maybe) there are numerous steps we have to go through in order to ""prove"" there was a fall and the spouse can not travel.  All must be accomplished through a physician statement.  I doubt there are many physicians willing to write such a statement but we are going to try.  There should be an easier way to accomplish a name change.  We even asked if there was a fee for a name change and there is none.  This is ridiculous.  What ever happened to customer service and accommodating the customer?  No other alternatives are available said the customer service representative as she read off the statement about how to cancel the ticket.  Didn't want a canceled ticket--wanted a name change to go on a vacation.  Life happens--this should not be this difficult.",,
2018-01-17 12:56:00.000001,7321642692953,"It was just a bit tedious having to deal with two different entities, AARP and Expedia, to resolve the issue. It was taken care of eventually.",,
2018-01-17 14:48:59.999999,7318037239678,"Their phones go dead all the time and there is terrible background noise, poor english pronunciations, and lastly, I thought I had made the travel for different dates, but when I saw it it was for the SAME day coming and going.  It cost me $300 to comeback when I wanted to....AARP should make a special arrangement that errors like this can be more quickly and efficiently changed without additional charges.",,
2018-01-17 15:02:59.999997,7322627578522,They understood the travel date mix-up and went to work cancelling/refunding the wrong date while I booked the correct date. We are traveling to my Mom's 101st birthday in my home state and it was daunting trying to cancel the original trip dates on the web site.,,
2018-01-17 15:56:59.999997,7321995726180,"Made a call, was understood, and got the result I was hoping for",,
2018-01-17 16:11:00.000004,7322027048377,The agent was very friendly and helpful.,,
2018-01-17 16:21:00,115446367805,the call took over two hours on one ocassion and three on the other but most was not the fault of the agent with AARP Travel,,
2018-01-17 16:21:00,7318425418326,When it comes to make a one day reservation it was hard to find one close to the airport. When it comes to cancelations it was so difficult to cancel same day reservation and I was charged for the hotels that I did not stay. Extremely aggravating and got the run around. I was charged for 3 hotels same day reservations same day cancellation and no fault of mine. Lousy customer service!,,
2018-01-17 17:05:00.000004,115885181596,Short waiting period. The person i spoke to was very friendly and extremely helpful to my situation.,,
2018-01-17 17:19:00.000002,7322296034691,The person understood my problem.,,
2018-01-17 17:51:59.999996,7303203620871,"The CSR seemed to take forever to respond to my questions, and i think the reasons were slow respomse from soffware amd the language isssue with the CSRs.  While their attitudes were wonderful, they were pretty slow and didnt seem to have great product and job knowledge.",,
